I am hungry | Éhes vagyok
I need help | Segítségre van szükségem
I like it | Tetszik
I don't understand | Nem értem
I'm sorry | Sajnálom
I have a question | Van egy kérdésem
I will be there | Ott leszek
I can do it | Meg tudom csinálni
I want to go home | Szeretnék hazamenni
I'm tired | Fáradt vagyok
I'm happy | Boldog vagyok
I'm sad | Szomorú vagyok
I'm busy | Elfoglalt vagyok
I'm late | Elkésztem
I'm on my way | Úton vagyok
I agree with you | Egyetértek veled
I disagree | Nem értek egyet
I don't know | Nem tudom
I think so | Azt hiszem
I hope so | Remélem
I'm afraid not | Attól tartok, nem
I'm sure | Biztos vagyok benne
I'm ready | Készen állok
I'm waiting | Várok
I'm joking | Viccelek
I'm serious | Komolyan gondolom
I'm kidding | Csak viccelek
I love you | Szeretlek
I miss you | Hiányzol
I promise | Ígérem
I forgot | Elfelejtettem
I remember | Emlékszem
I found it | Megtaláltam
I lost it | Elvesztettem
I broke it | Eltörtem
I made it | Megcsináltam
I saw it | Láttam
I heard it | Hallottam
I said it | Mondtam
I did it | Megtettem
I tried | Próbáltam
I succeeded | Sikert értem el
I failed | Elbuk tam
I left | Elmentem
I arrived | Megérkeztem
I called | Felhívtam
I sent it | Elküldtem
I received it | Megkaptam
I opened it | Kinyitottam
I closed it | Becsuktam
I started | Elkezdtem
I finished | Befejeztem
I stopped | Megálltam
I continued | Folytattam
I changed it | Megváltoztattam
I fixed it | Megjavítottam
I cleaned it | Kitakarítottam
I washed it | Kimostam
I cooked | Főztem
I ate | Ettem
I drank | Ittam
I slept | Aludtam
I woke up | Felébredtem
I got up | Felkeltem
I left home | Elmentem otthonról
I came back | Visszajöttem
I worked | Dolgoztam
I studied | Tanultam
I learned | Megtanultam
I taught | Tanítottam
I explained | Kifejtettem
I asked | Megkérdeztem
I answered | Válaszoltam
I laughed | Nevettem
I cried | Sírtam
I shouted | Kiabáltam
I whispered | Suttogtam
I walked | Sétáltam
I ran | Futottam
I drove | Vezettem
I flew | Repültem
I swam | Úsztam
I bought | Vettem
I sold | Eladtam
I paid | Fizettem
I borrowed | Kölcsönkértem
I lent | Kölcsönadtam
